numberOfHerders,dog1_xpos,dog1_zpos,dog1_touch,dog1_SuggestedTA,dog2_xpos,dog2_zpos,dog2_touch,dog2_SuggestedTA,numberOfTargets, numActiveTargets,Target1_xpos,Target1_zpos,Target1_xvel,Target1_zvel,Target1_active,Target1_InfluencedbyHA,Target2_xpos,Target2_zpos,Target2_xvel,Target2_zvel,Target2_active,Target2_InfluencedbyHA,Target3_xpos,Target3_zpos,Target3_xvel,Target3_zvel,Target3_active,Target3_InfluencedbyHA,Target4_xpos,Target4_zpos,Target4_xvel,Target4_zvel,Target4_active,Target4_InfluencedbyHA,containment_xpos, containment_zpos, allTargetsInGoal, numTargetsContained,numberOfWins, trialtime
2,-0.0240114,-0.3479514,1,1,0,0.45,0,1,4,4,-0.08922636,-0.1655942,0,0,True,2,-0.3247379,0.04648966,0,0,True,0,0.5987878,0.0212279,0,0,True,0,0.5642767,-0.03980821,0,0,True,2,0,0,False,0,6,41.56
2,-0.02399613,-0.3480164,1,1,0.008468031,0.449463,0,2,4,4,-0.08922543,-0.1655939,6.328976E-05,2.507973E-05,True,0,-0.3247374,0.04648999,3.486976E-05,2.252517E-05,True,0,0.5987889,0.02122769,6.644768E-05,-1.397703E-05,True,0,0.5642758,-0.03980928,-6.173424E-05,-7.23259E-05,True,0,0,0,False,0,6,41.58
2,-0.02400128,-0.3479944,1,1,-0.02683114,0.4467812,0,2,4,4,-0.08922389,-0.1655927,0.000137087,0.0001027578,True,0,-0.324737,0.04649043,3.434865E-05,3.86949E-05,True,0,0.5987899,0.0212274,8.92735E-05,-2.597189E-05,True,0,0.5642743,-0.03981036,-0.0001377165,-9.506609E-05,True,0,0,0,False,0,6,41.6
2,-0.0250026,-0.3480019,1,1,-0.09167201,0.4349124,0,2,4,4,-0.08922177,-0.1655916,0.0002683172,0.0001423991,True,0,-0.3247366,0.04649083,5.585036E-05,5.092696E-05,True,0,0.5987912,0.02122674,0.0001513883,-8.296888E-05,True,0,0.5642722,-0.03981185,-0.0002666598,-0.000186934,True,0,0,0,False,0,6,41.62
2,-0.02967971,-0.3429844,1,1,-0.1629102,0.4092493,0,2,4,4,-0.0892203,-0.165591,0.0003196038,0.000126337,True,0,-0.324736,0.04649116,0.0001444011,7.229484E-05,True,0,0.5987923,0.02122621,0.0002252079,-0.0001153997,True,0,0.5642703,-0.03981322,-0.0004224773,-0.0002958373,True,0,0,0,False,0,6,41.64
2,-0.03512289,-0.3376561,1,1,-0.224887,0.3733802,0,2,4,4,-0.08921985,-0.1655909,0.0003664159,7.259121E-05,True,0,-0.3247357,0.04649122,0.0002222355,4.069755E-05,True,0,0.5987927,0.02122602,0.0003243985,-0.000147757,True,0,0.5642697,-0.03981382,-0.0005139387,-0.0004777822,True,0,0,0,False,0,6,41.66
2,-0.03830186,-0.3364443,1,1,-0.2747613,0.3318779,0,2,4,4,-0.08921072,-0.1655889,0.0004567194,0.0001015602,True,0,-0.3247298,0.04649084,0.0003006392,-1.896827E-05,True,0,0.5988002,0.02122207,0.0003736347,-0.000197812,True,0,0.5642581,-0.03982716,-0.0005814257,-0.0006667344,True,0,0,0,False,0,6,41.68
2,-0.04224445,-0.3328411,1,1,-0.3127483,0.2886575,0,2,4,4,-0.0891998,-0.165588,0.000545866,4.780387E-05,True,0,-0.3247215,0.0464893,0.0004130245,-7.674391E-05,True,0,0.5988097,0.02121752,0.0004729248,-0.0002275084,True,0,0.564244,-0.03984259,-0.0007049103,-0.0007718309,True,0,0,0,False,0,6,41.7
2,-0.0499412,-0.3270358,1,1,-0.3400957,0.246866,0,2,4,4,-0.089187,-0.1655892,0.0006403364,-6.037536E-05,True,0,-0.3247109,0.04648806,0.0005306106,-6.247348E-05,True,0,0.5988207,0.02121394,0.0005486168,-0.0001792637,True,0,0.5642283,-0.03985984,-0.0007853917,-0.0008624772,True,0,0,0,False,0,6,41.72
2,-0.06439392,-0.3169595,1,1,-0.3585882,0.2087348,0,2,4,4,-0.08917148,-0.1655935,0.0007759649,-0.0002152363,True,0,-0.3246967,0.04648793,0.0007052367,-6.50919E-06,True,0,0.5988331,0.02121032,0.0006190478,-0.00018068,True,0,0.5642127,-0.039878,-0.0007809615,-0.0009077896,True,0,0,0,False,0,6,41.74
2,-0.08258535,-0.3043121,1,1,-0.3701711,0.1755746,0,2,4,4,-0.08915495,-0.1655993,0.0008269056,-0.0002917271,True,0,-0.3246789,0.04649029,0.000894818,0.0001176894,True,0,0.5988459,0.02120502,0.000637582,-0.0002647447,True,0,0.5641958,-0.03989832,-0.0008460947,-0.001015689,True,0,0,0,False,0,6,41.76
