numberOfHerders,dog1_xpos,dog1_zpos,dog1_touch,dog1_SuggestedTA,dog2_xpos,dog2_zpos,dog2_touch,dog2_SuggestedTA,numberOfTargets, numActiveTargets,Target1_xpos,Target1_zpos,Target1_xvel,Target1_zvel,Target1_active,Target1_InfluencedbyHA,Target2_xpos,Target2_zpos,Target2_xvel,Target2_zvel,Target2_active,Target2_InfluencedbyHA,Target3_xpos,Target3_zpos,Target3_xvel,Target3_zvel,Target3_active,Target3_InfluencedbyHA,Target4_xpos,Target4_zpos,Target4_xvel,Target4_zvel,Target4_active,Target4_InfluencedbyHA,containment_xpos, containment_zpos, allTargetsInGoal, numTargetsContained,numberOfWins, trialtime
2,-0.1078977,-0.1352984,1,0,0,0.45,0,0,4,4,0.03068298,0.3906916,0,0,True,0,-0.2742277,0.1906895,0,0,True,0,0.1170793,0.1928946,0,0,True,0,0.4093021,0.274501,0,0,True,0,0,0,False,0,0,5.6
2,-0.1080345,-0.1348993,1,0,0,0.4502499,0,1,4,4,0.03068987,0.3906783,0.0008499272,-0.001642522,True,2,-0.2742282,0.1906899,-5.981644E-05,5.015779E-05,True,0,0.1170794,0.1928945,8.483084E-06,-1.453187E-05,True,0,0.4093016,0.2745015,-6.865765E-05,6.318176E-05,True,0,0,0,False,0,0,5.62
2,-0.1079884,-0.135034,1,0,0.002286091,0.4499871,0,1,4,4,0.03069823,0.3906621,0.00169322,-0.00327942,True,2,-0.2742288,0.1906905,-0.0001231728,0.000135446,True,0,0.1170793,0.1928943,-3.78701E-06,-4.55591E-05,True,0,0.4093013,0.2745022,-7.649805E-05,0.0001294884,True,0,0,0,False,0,0,5.64
2,-0.1080039,-0.1349885,1,0,0.006242213,0.4492926,0,1,4,4,0.0307022,0.3906542,0.002503234,-0.004970895,True,2,-0.274229,0.1906908,-0.0001853381,0.0001502379,True,0,0.1170792,0.1928942,-8.227299E-05,-3.500868E-05,True,0,0.4093013,0.2745026,-4.355845E-06,0.000208487,True,0,0,0,False,0,0,5.66
2,-0.1079987,-0.1350038,1,0,0.01125912,0.4482303,0,1,4,4,0.0307506,0.3905535,0.003250374,-0.00676248,True,2,-0.2742327,0.1906928,-0.00024412,0.0001369984,True,0,0.1170763,0.1928941,-0.0001972295,-6.703306E-06,True,0,0.4093033,0.2745067,0.0001334058,0.0002785616,True,0,0,0,False,0,0,5.68
2,-0.1080005,-0.1349987,1,0,0.01677776,0.4468648,0,1,4,4,0.03079558,0.3904534,0.00389845,-0.008681288,True,2,-0.2742359,0.1906946,-0.0002739963,0.0001513659,True,0,0.1170732,0.1928948,-0.0002666064,5.445856E-05,True,0,0.4093059,0.2745104,0.0002225189,0.0003211177,True,0,0,0,False,0,0,5.7
2,-0.1090028,-0.1380094,1,0,0.02232441,0.4452665,0,1,4,4,0.03088379,0.3902385,0.004409334,-0.01073958,True,2,-0.2742428,0.1906986,-0.0003427494,0.0001979574,True,0,0.117067,0.1928967,-0.0003120348,9.499683E-05,True,0,0.4093137,0.2745179,0.0003859717,0.0003705528,True,0,0,0,False,0,0,5.72
2,-0.1096677,-0.1410058,1,0,0.02752291,0.4435124,0,1,4,4,0.03097874,0.38998,0.004747933,-0.01292489,True,2,-0.2742524,0.1907037,-0.0004788239,0.0002559854,True,0,0.1170595,0.1929011,-0.0003755964,0.0002182694,True,0,0.4093237,0.2745268,0.0005031861,0.0004483289,True,0,0,0,False,0,0,5.74
2,-0.1104464,-0.143004,1,0,0.0321041,0.4416772,0,1,4,4,0.0310766,0.3896758,0.004893408,-0.01521377,True,2,-0.2742632,0.1907097,-0.0005402134,0.0003011603,True,0,0.1170497,0.1929069,-0.0004888583,0.0002924491,True,0,0.4093369,0.274537,0.0006585333,0.0005064793,True,0,0,0,False,0,0,5.76
2,-0.1101837,-0.143333,1,0,0.03589804,0.4398297,0,1,4,4,0.03117353,0.3893239,0.0048469,-0.01758678,True,2,-0.2742746,0.1907172,-0.0005703717,0.0003709048,True,0,0.1170388,0.1929135,-0.0005473627,0.0003269333,True,0,0.4093528,0.2745496,0.0007939512,0.0006310339,True,0,0,0,False,0,0,5.78
2,-0.1102723,-0.144225,1,0,0.03882346,0.4380258,0,1,4,4,0.03126587,0.3889239,0.004617657,-0.0200006,True,2,-0.2742876,0.1907263,-0.0006503061,0.0004594886,True,0,0.1170266,0.1929221,-0.0006078918,0.0004317569,True,0,0.409373,0.2745652,0.001011245,0.00077611,True,0,0,0,False,0,0,5.8
2,-0.1102424,-0.1439241,1,4,0.04087355,0.4363061,0,4,4,4,0.03135065,0.3884748,0.004239435,-0.0224541,True,2,-0.2743009,0.1907384,-0.0006642045,0.0006044287,True,0,0.1170144,0.1929331,-0.0006082074,0.0005486986,True,0,0.4093966,0.2745848,0.001180979,0.0009837373,True,0,0,0,False,0,0,5.82
2,-0.1102525,-0.1440256,1,4,0.06765305,0.4333281,0,4,4,4,0.03142548,0.3879763,0.003742447,-0.02492317,True,2,-0.2743158,0.1907547,-0.0007476631,0.0008104591,True,0,0.1170037,0.1929464,-0.0005359751,0.0006688694,True,0,0.4094245,0.2746074,0.001393712,0.00112871,True,0,0,0,False,0,0,5.84
2,-0.1112522,-0.1449943,1,4,0.111328,0.4261357,0,4,4,4,0.03147372,0.3874446,0.002415296,-0.02658301,True,2,-0.2743326,0.1907761,-0.0008365138,0.001071401,True,0,0.1169959,0.192963,-0.0003910135,0.0008300604,True,0,0.4094559,0.2746331,0.001567775,0.001288668,True,0,0,0,False,0,0,5.86
2,-0.1139236,-0.1597109,1,4,0.1621689,0.4127459,0,4,4,4,0.03149695,0.3869012,0.001161673,-0.02717302,True,2,-0.2743503,0.1908027,-0.0008875211,0.001331843,True,0,0.1169911,0.1929815,-0.0002415656,0.0009237964,True,0,0.4094896,0.274663,0.001685716,0.001490944,True,0,0,0,False,0,0,5.88
2,-0.1170347,-0.1647781,1,4,0.2120907,0.3938868,0,4,4,4,0.03151865,0.386358,0.001085495,-0.02716322,True,0,-0.2743686,0.190834,-0.0009164064,0.001566579,True,0,0.116988,0.1930026,-0.0001547736,0.001051595,True,0,0.4095252,0.2746962,0.001785865,0.001658143,True,0,0,0,False,0,0,5.9
2,-0.1189942,-0.1771099,1,4,0.2569323,0.3717297,0,4,4,4,0.03153762,0.3858154,0.0009489633,-0.02713015,True,0,-0.2743892,0.190871,-0.001026201,0.001845223,True,0,0.1169882,0.1930273,9.05685E-06,0.001236996,True,0,0.4095626,0.2747343,0.001865122,0.001909202,True,0,0,0,False,0,0,5.92
2,-0.1223451,-0.1879952,1,4,0.2952691,0.3485752,0,4,4,4,0.03155435,0.3852722,0.0008369138,-0.02716484,True,0,-0.2744116,0.1909137,-0.001123497,0.002136409,True,0,0.1169922,0.1930547,0.0002012766,0.001368203,True,0,0.409603,0.2747784,0.002020124,0.002205514,True,0,0,0,False,0,0,5.94
2,-0.1242239,-0.1943538,1,4,0.3269919,0.3263923,0,4,4,4,0.03156799,0.3847268,0.0006829521,-0.02726968,True,0,-0.2744358,0.1909612,-0.001210749,0.002374716,True,0,0.117,0.193085,0.0003913537,0.001514709,True,0,0.4096481,0.2748271,0.002255192,0.002434063,True,0,0,0,False,0,0,5.96
2,-0.1276019,-0.2062501,1,4,0.3526019,0.3066671,0,4,4,4,0.03157831,0.3841791,0.0005160816,-0.02738565,True,0,-0.2744615,0.1910123,-0.001283144,0.002558137,True,0,0.1170122,0.1931187,0.0006104026,0.001688272,True,0,0.4097147,0.2748623,0.003329867,0.001761994,True,2,0,0,False,0,0,5.98
2,-0.1274656,-0.207253,1,4,0.3728692,0.2903496,0,4,4,4,0.03158588,0.3836311,0.000379603,-0.02740216,True,0,-0.2744875,0.1910656,-0.00129912,0.002663368,True,0,0.1170298,0.1931566,0.0008762571,0.001892913,True,0,0.4098143,0.2748792,0.004977732,0.0008429111,True,2,0,0,False,0,0,6
2,-0.1295175,-0.2119296,1,4,0.3886427,0.2778651,0,4,4,4,0.0315916,0.3830808,0.0002859861,-0.02751466,True,0,-0.2745149,0.1911198,-0.001370415,0.002710611,True,0,0.1170516,0.1931984,0.001090971,0.002093059,True,0,0.4099709,0.2748722,0.007821385,-0.0003467487,True,2,0,0,False,0,0,6.02
