part_id,agent_type,block,trial_no,q1,q2,q3,q4,q5,q6
1101,RL,1.0,2,5.0,5.0,1.0,7.0,6.0,0.0
1101,RL,1.0,6,6.0,5.0,5.0,6.0,7.0,1.0
1101,RL,2.0,10,7.0,5.0,7.0,6.0,7.0,1.0
1101,RL,2.0,16,5.0,6.0,4.0,3.0,5.0,0.0
1101,RL_HP,1.0,4,2.0,2.0,6.0,6.0,6.0,0.0
1101,RL_HP,1.0,8,2.0,2.0,1.0,6.0,3.0,1.0
1101,RL_HP,2.0,12,3.0,3.0,3.0,6.0,4.0,0.0
1101,RL_HP,2.0,14,2.0,1.0,3.0,6.0,3.0,0.0
1102,RL,1.0,4,6.0,5.0,3.0,5.0,6.0,1.0
1102,RL,1.0,8,3.0,3.0,4.0,3.0,4.0,0.0
1102,RL,2.0,10,3.0,3.0,6.0,4.0,3.0,0.0
1102,RL,2.0,16,6.0,6.0,3.0,6.0,4.0,0.0
1102,RL_HP,1.0,2,3.0,5.0,4.0,6.0,3.0,0.0
1102,RL_HP,1.0,6,6.0,7.0,4.0,5.0,4.0,1.0
1102,RL_HP,2.0,12,5.0,6.0,3.0,3.0,6.0,0.0
1102,RL_HP,2.0,14,3.0,3.0,2.0,4.0,6.0,1.0
1103,RL,1.0,2,5.0,5.0,7.0,7.0,5.0,0.0
1103,RL,1.0,8,7.0,6.0,6.0,7.0,7.0,1.0
1103,RL,2.0,12,7.0,7.0,7.0,7.0,7.0,1.0
1103,RL,2.0,16,3.0,3.0,3.0,2.0,2.0,0.0
1103,RL_HP,1.0,4,6.0,7.0,7.0,6.0,7.0,0.0
1103,RL_HP,1.0,6,4.0,5.0,5.0,7.0,4.0,0.0
1103,RL_HP,2.0,10,7.0,7.0,7.0,7.0,7.0,1.0
1103,RL_HP,2.0,14,7.0,7.0,7.0,7.0,7.0,1.0
1104,RL,1.0,4,1.0,1.0,1.0,1.0,1.0,
1104,RL,1.0,6,1.0,2.0,2.0,2.0,2.0,
1104,RL,2.0,12,2.0,1.0,1.0,1.0,2.0,
1104,RL,2.0,16,2.0,2.0,2.0,2.0,2.0,
1104,RL_HP,1.0,2,2.0,2.0,2.0,1.0,1.0,
1104,RL_HP,1.0,8,3.0,4.0,4.0,2.0,4.0,
1104,RL_HP,2.0,10,1.0,1.0,1.0,1.0,1.0,
1104,RL_HP,2.0,14,2.0,2.0,2.0,2.0,1.0,
